,Index Name,Annual Return,Cumulative Returns,Annual Volatility,Sharpe Ratio,Sortino Ratio,Max Drawdown,Calmar Ratio,1_Train,1_Test,1_CV,2_Train,2_Test,2_CV
GULF.BK,Gulf Energy Development Public Company Limited,0.118605649,0.713641881,0.25939191,0.561012118,0.871878123,-0.287560891,0.412454033,0.678018576,0.592592593,0.473781587,0.640866873,0.613168724,0.498520559
HMPRO.BK,Home Product Center Public Company Limited,0.013518349,0.066655442,0.24925038,0.178090669,0.263533336,-0.258865805,0.052221456,0.669762642,0.613168724,0.584151277,0.632610939,0.687242798,0.609740503
INTUCH.BK,Intouch Holdings Public Company Limited,0.135439036,0.841165411,0.194588081,0.749463054,1.179956345,-0.235055399,0.576200491,0.658410733,0.555555556,0.532234806,0.598555212,0.555555556,0.542975207
IVL.BK,Indorama Ventures Public Company Limited,0.093546866,0.536863459,0.342749857,0.431334679,0.654011794,-0.532035987,0.17582808,0.660474716,0.625514403,0.524687957,0.609907121,0.621399177,0.540346223
KBANK.BK,Kasikornbank Public Company Limited,0.101824781,0.593580955,0.29380018,0.475427386,0.74050044,-0.395299095,0.257589209,0.649122807,0.559670782,0.545417134,0.601651187,0.555555556,0.551171649
KCE.BK,KCE Electronics Public Company Limited,0.32791203,2.907481587,0.402204278,0.904833807,1.424953779,-0.594174656,0.551878184,0.661506708,0.551440329,0.4926164,0.598555212,0.53909465,0.500853654
KTB.BK,Krung Thai Bank Public Company Limited,0.148639375,0.946328367,0.232997394,0.710260858,1.156273562,-0.300000055,0.495464492,0.687306502,0.633744856,0.539574193,0.656346749,0.62962963,0.615454205
KTC.BK,Krungthai Card Public Company Limited,0.099390604,0.576733598,0.310549134,0.46013246,0.678161886,-0.459016879,0.2165293,0.667698658,0.600823045,0.509920756,0.62125903,0.596707819,0.512389892
LH.BK,Land and Houses Public Company Limited,0.083055324,0.467288735,0.193798379,0.509306764,0.714469049,-0.236847074,0.350670679,0.680082559,0.687242798,0.536326225,0.610939112,0.674897119,0.57010169
MINT.BK,Minor International Public Company Limited,0.06575257,0.358014203,0.351458536,0.353484016,0.554686295,-0.388392847,0.169293978,0.660474716,0.600823045,0.556987382,0.595459236,0.596707819,0.565245043
MTC.BK,Muangthai Capital Public Company Limited,-0.028506738,-0.12975562,0.361891797,0.101747249,0.145753976,-0.560453998,-0.050863653,0.681114551,0.502057613,0.452929973,0.584107327,0.563786008,0.493385029
OR.BK,PTT Oil and Retail Business Public Company Limited,0,0,0,,,0,,0.700179533,0.6,0.573638232,0.682226212,0.6,0.596649538
OSP.BK,Osotspa Public Company Limited,-0.066097156,-0.280081788,0.252191696,-0.145153071,-0.212167398,-0.455639674,-0.145064531,0.691434469,0.580246914,0.522504506,0.641898865,0.633744856,0.578532803
PTT.BK,PTT Public Company Limited,0.087577947,0.496967746,0.234945394,0.472989363,0.77321009,-0.245993885,0.356016765,0.66873065,0.62962963,0.577672346,0.628482972,0.62962963,0.603193552
PTTEP.BK,PTT Exploration and Production Public Company Limited,0.226110647,1.663386641,0.289134164,0.848276579,1.356503951,-0.275193864,0.821641309,0.71001032,0.530864198,0.512376288,0.624355005,0.543209877,0.519783696
PTTGC.BK,PTT Global Chemical Public Company Limited,0.099712373,0.57895249,0.297401998,0.467119333,0.720817444,-0.490441676,0.203311378,0.648090815,0.559670782,0.550273782,0.613003096,0.604938272,0.560184335
RATCH.BK,Ratch Group Public Company Limited,-0.045342807,-0.199878762,0.213998394,-0.110203504,-0.158859607,-0.460235638,-0.098520851,0.640866873,0.604938272,0.486035439,0.631578947,0.609053498,0.526527905
SAWAD.BK,Srisawad Corporation Public Company Limited,-0.044295902,-0.195653386,0.369978861,0.062160749,0.090992015,-0.532656724,-0.083160317,0.68627451,0.497942387,0.483515288,0.62745098,0.502057613,0.485987824
SCB.BK,SCB X Public Company Limited,0,0,0,,,0,,0.737003058,0.426829268,0.525654923,0.642201835,0.524390244,0.567208672
SCC.BK,The Siam Cement Public Company Limited,0.044738469,0.234076304,0.188645467,0.325263847,0.512278781,-0.354692578,0.126133085,0.657378741,0.592592593,0.522269836,0.604747162,0.609053498,0.536316022
SCGP.BK,SCG Packaging Public Company Limited,0,0,0,,,0,,0.689935065,0.419354839,0.40725597,0.628246753,0.548387097,0.411152074
TISCO.BK,TISCO Financial Group Public Company Limited,0.123244422,0.748062322,0.179434991,0.737404125,1.120837866,-0.243975913,0.505149959,0.678018576,0.481481481,0.507557052,0.611971104,0.617283951,0.525660647
TLI.BK,Thai Life Insurance Public Company Limited,0,0,0,,,0,,0.732142857,0.671428571,0.551428571,0.65,0.685714286,0.557142857
TOP.BK,Thai Oil Public Company Limited,0.125616726,0.76587551,0.315250904,0.53185488,0.804925632,-0.366336577,0.342899763,0.670794634,0.559670782,0.506662585,0.610939112,0.559670782,0.520678162
TRUE.BK,True Corporation Public Company Limited,0.147554367,0.937509187,0.437853501,0.498690194,1.069114918,-0.412790702,0.357455647,0.66873065,0.609053498,0.592412339,0.624355005,0.633744856,0.603145937
TTB.BK,TMBThanachart Bank Public Company Limited,0.19637404,1.36697735,0.287131904,0.768930363,1.15575972,-0.376923156,0.520992241,0.699690402,0.625514403,0.62627623,0.680082559,0.625514403,0.639458559
TU.BK,Thai Union Group Public Company Limited,0.067753223,0.370308808,0.240249125,0.393001709,0.574635756,-0.400092258,0.169344,0.682146543,0.588477366,0.505757916,0.64499484,0.609053498,0.529673843
WHA.BK,WHA Corporation Public Company Limited,0.230511999,1.709646087,0.287153388,0.865622577,1.352502705,-0.34615384,0.665923562,0.658410733,0.572016461,0.550365609,0.619195046,0.572016461,0.573472095
